iter	RMSE
0	349524.5686
1	338476.5368
2	328100.4396
3	318241.7886
4	309120.3971
5	300363.4587
6	291886.0084
7	284172.174
8	276382.15
9	268784.593
10	261850.9336
11	254985.4671
12	248707.5937
13	242774.2856
14	237096.1997
15	231608.1023
16	226381.0443
17	221322.0192
18	216471.2405
19	211941.409
20	207407.5448
21	203594.2441
22	199536.0168
23	195470.4243
24	191803.0067
25	188666.9223
26	185092.0566
27	181978.6364
28	178991.917
29	175997.6615
30	173346.4761
31	170686.389
32	168429.8335
33	165826.5895
34	163563.3716
35	161283.005
36	159275.396
37	157180.9439
38	155570.5501
39	153824.9387
40	152337.9968
41	150621.4087
42	148945.4529
43	147373.1238
44	146022.9704
45	144805.1532
46	143444.5632
47	142152.3156
48	140891.5267
49	139646.2696
50	138624.7117
51	137541.5855
52	136446.7596
53	135571.2804
54	134798.4367
55	133877.5988
56	132998.3305
57	132083.9572
58	131038.2535
59	130264.7072
60	129506.2142
61	128745.126
62	128307.4072
63	127618.7894
64	126962.2019
65	126404.1809
66	125835.468
67	125262.1283
68	124647.5766
69	124104.4363
70	123592.7148
71	123196.8428
72	122762.2105
73	122206.9196
74	121833.8428
75	121297.6279
76	120962.3873
77	120499.0607
78	120090.4033
79	119706.1805
80	119344.0774
81	118979.9722
82	118589.8683
83	118207.2856
84	117969.2059
85	117689.8487
86	117280.3206
87	116899.0384
88	116604.87
89	116221.8831
90	116169
91	115845.502
92	115617.6444
93	115282.9479
94	115007.589
95	114810.3899
96	114525.9827
97	114202.3407
98	113973.1734
99	113599.5007
100	113310.6007
101	113061.5346
102	112856.4002
103	112620.6873
104	112430.11
105	112253.0158
106	112005.4761
107	111773.0108
108	111553.4054
109	111362.0423
110	111197.8612
111	111016.7764
112	110819.9463
113	110663.5501
114	110462.9606
115	110264.8635
116	109992.926
117	109838.1723
118	109687.8537
119	109491.7475
120	109240.13
121	109082.9098
122	108960.598
123	108771.8186
124	108565.5024
125	108507.357
126	108303.0523
127	108159.7342
128	107974.5754
129	107802.5657
130	107625.5512
131	107423.5824
132	107292.5569
133	107072.2158
134	106925.6739
135	106693.8442
136	106467.614
137	106317.8204
138	106135.9374
139	105990.7285
140	105855.5752
141	105716.7171
142	105602.8384
143	105465.2272
144	105335.6391
145	105242.2339
146	105107.9413
147	105011.877
148	104935.3584
149	104853.0818
150	104632.7476
151	104429.2942
152	104341.9835
153	104229.6105
154	104135.3088
155	103975.9231
156	103895.19
157	103737.4679
158	103606.0736
159	103425.6858
160	103328.6751
161	103253.3842
162	103089.5043
163	102969.4595
164	102826.6421
165	102712.7532
166	102641.7339
167	102541.8714
168	102379.1319
169	102245.87
170	102149.1471
171	102048.7817
172	101939.6865
173	101818.2374
174	101697.8662
175	101474.0487
176	101348.1129
177	101222.7423
178	101144.2957
179	101014.9815
180	100916.3711
181	100774.4915
182	100659.8662
183	100559.0122
184	100435.2598
185	100368.6286
186	100268.9316
187	100110.099
188	99988.75437
189	99897.87653
190	99802.80203
191	99681.87945
192	99542.48255
193	99407.6264
194	99254.78327
195	99118.83051
196	98971.61963
197	98853.67459
198	98757.0588
199	98578.32841
