iter	Passed	Remaining
0	5	3015
1	11	3313
2	15	3128
3	19	2929
4	23	2840
5	28	2821
6	32	2785
7	36	2733
8	41	2723
9	47	2786
10	52	2824
11	57	2829
12	62	2809
13	66	2766
14	69	2715
15	75	2744
16	80	2746
17	83	2715
18	88	2705
19	93	2703
20	98	2702
21	108	2849
22	113	2851
23	119	2862
24	123	2845
25	128	2832
26	132	2807
27	136	2781
28	140	2760
29	143	2735
30	148	2726
31	151	2696
32	156	2697
33	161	2696
34	165	2676
35	169	2655
36	173	2643
37	178	2636
38	182	2624
39	187	2618
40	191	2606
41	196	2605
42	200	2591
43	205	2594
44	211	2611
45	216	2602
46	220	2598
47	225	2592
48	229	2579
49	233	2571
50	238	2564
51	242	2554
52	246	2543
53	250	2532
54	255	2532
55	259	2524
56	263	2511
57	267	2503
58	272	2494
59	275	2480
60	279	2466
61	283	2460
62	286	2445
63	290	2434
64	294	2423
65	298	2416
66	302	2406
67	305	2393
68	309	2380
69	313	2370
70	317	2366
71	321	2355
72	325	2347
73	329	2344
74	335	2345
75	339	2338
76	343	2332
77	348	2331
78	352	2325
79	356	2315
80	360	2308
81	364	2305
82	369	2298
83	372	2291
84	377	2285
85	381	2280
86	385	2272
87	389	2267
88	393	2258
89	398	2256
90	401	2248
91	405	2240
92	409	2233
93	414	2233
94	419	2228
95	422	2219
96	426	2209
97	430	2204
98	435	2202
99	439	2195
100	442	2186
101	447	2184
102	452	2182
103	456	2177
104	460	2172
105	466	2172
106	469	2164
107	473	2157
108	478	2156
109	483	2154
110	487	2146
111	490	2139
112	496	2138
113	500	2132
114	504	2125
115	508	2120
116	513	2118
117	516	2109
118	520	2102
119	524	2098
120	529	2094
121	533	2088
122	536	2081
123	540	2076
124	545	2073
125	549	2066
126	553	2061
127	557	2056
128	562	2054
129	566	2047
130	571	2045
131	577	2046
132	582	2044
133	586	2041
134	591	2038
135	596	2034
136	600	2031
137	605	2027
138	610	2025
139	615	2023
140	620	2021
141	626	2019
142	631	2018
143	635	2012
144	640	2008
145	644	2003
146	648	1998
147	652	1993
